Date,Open,High,Low,Close,Adj Close,Volume
2018-08-23,694.1500244140625,701.3250122070312,693.1749877929688,699.5999755859375,654.3638305664062,205488.0
2018-08-24,696.2750244140625,701.5,688.0,689.9749755859375,645.3612670898438,1123256.0
2018-08-27,691.6749877929688,709.4500122070312,691.6749877929688,707.4500122070312,661.7064208984375,271808.0
2018-08-28,708.0,719.25,706.1500244140625,712.1749877929688,666.1257934570312,320148.0
2018-08-29,717.5,717.8499755859375,703.0,705.1749877929688,659.5783081054688,437338.0
2018-08-30,705.5,711.5,698.5,708.75,662.9222412109375,490422.0
2018-08-31,711.0,726.5,711.0,720.0,673.4447631835938,4246466.0
2018-09-03,729.0,733.5,715.0,716.7249755859375,670.3815307617188,1256342.0
2018-09-04,723.7000122070312,748.3499755859375,717.0,735.6500244140625,688.0828857421875,832961.0
2018-09-05,741.75,748.4500122070312,726.3499755859375,729.7999877929688,682.611083984375,625030.0
2018-09-06,734.5,735.0,725.0,727.9500122070312,680.8807373046875,246579.0
2018-09-07,733.0499877929688,737.0,724.75,733.1500244140625,685.74462890625,353724.0
2018-09-10,737.0,746.5,729.6500244140625,731.9500122070312,684.6221313476562,312641.0
2018-09-11,734.2999877929688,744.1500244140625,732.5499877929688,734.25,686.7733764648438,465074.0
2018-09-12,743.0,745.75,736.25,742.7000122070312,694.6769409179688,285153.0
2018-09-14,742.5,744.0,730.1500244140625,735.2000122070312,687.6620483398438,374118.0
2018-09-17,736.4000244140625,740.0,725.0999755859375,726.5499877929688,679.5712280273438,292264.0
2018-09-18,732.0,732.0,716.7999877929688,719.1500244140625,672.6497802734375,202211.0
2018-09-19,725.0,727.4000244140625,714.9500122070312,720.4000244140625,673.8189086914062,151490.0
2018-09-21,719.0,719.0,692.0,706.2999877929688,660.630615234375,773924.0
2018-09-24,709.0,729.9500122070312,705.5,717.2999877929688,670.9193725585938,749018.0
2018-09-25,720.0,735.7999877929688,717.3499755859375,726.5,679.5244750976562,359507.0
2018-09-26,738.0,738.0,712.4000244140625,717.7999877929688,671.3870239257812,282597.0
2018-09-27,719.5,730.6500244140625,718.0499877929688,724.1500244140625,677.3264770507812,804565.0
2018-09-28,720.0,734.0,715.7999877929688,727.8499755859375,680.7872314453125,506489.0
2018-10-01,735.0999755859375,754.9500122070312,733.4000244140625,744.4500122070312,696.3139038085938,3761334.0
2018-10-03,744.7000122070312,751.9500122070312,726.5499877929688,727.8499755859375,680.7872314453125,292087.0
2018-10-04,728.0,729.0,702.9000244140625,706.3499755859375,660.6774291992188,403889.0
2018-10-05,711.0,731.25,709.0,721.8499755859375,675.1751098632812,399124.0
2018-10-08,725.0499877929688,728.5,710.3499755859375,714.5,668.3003540039062,228274.0
2018-10-09,716.0,726.0,703.0999755859375,717.3499755859375,670.966064453125,437278.0
2018-10-10,718.1500244140625,720.0,695.4000244140625,700.2999877929688,655.0186157226562,1078764.0
2018-10-11,689.9000244140625,691.75,665.25,675.0,631.3545532226562,680373.0
2018-10-12,677.0,690.0,662.5999755859375,679.0499877929688,635.1426391601562,422848.0
2018-10-15,690.0,705.7999877929688,681.6500244140625,699.0999755859375,653.8961791992188,443802.0
2018-10-16,709.0,713.75,688.0999755859375,696.4000244140625,651.370849609375,774209.0
2018-10-17,707.0,721.0,701.25,704.5,658.947021484375,1145997.0
2018-10-19,689.7999877929688,689.7999877929688,678.5,682.5999755859375,638.463134765625,821154.0
2018-10-22,691.0,705.0,674.0999755859375,678.25,634.3943481445312,462086.0
2018-10-23,679.0,681.6500244140625,654.6500244140625,657.8499755859375,615.3134155273438,533828.0
2018-10-24,663.0499877929688,666.4500122070312,647.9000244140625,650.1500244140625,608.111328125,1825795.0
2018-10-25,643.0,655.75,636.0499877929688,649.2999877929688,613.92626953125,373386.0
2018-10-26,645.0999755859375,649.8499755859375,630.0,633.5,598.9869995117188,397563.0
2018-10-29,633.0,650.0,631.7000122070312,643.7999877929688,608.7258911132812,478683.0
2018-10-30,640.0,663.0,638.0,659.75,623.8069458007812,415852.0
2018-10-31,665.0,693.1500244140625,662.0499877929688,686.25,648.8632202148438,582754.0
2018-11-01,693.9000244140625,693.9000244140625,660.0999755859375,666.3499755859375,630.04736328125,349193.0
2018-11-02,668.0999755859375,675.2999877929688,660.5,662.0499877929688,625.9816284179688,533579.0
2018-11-05,663.0,666.9000244140625,657.0499877929688,662.75,626.6434326171875,372745.0
2018-11-06,669.0,675.0999755859375,662.0999755859375,666.7999877929688,630.4728393554688,785263.0
2018-11-07,674.4500122070312,678.0,671.75,676.0,639.1716918945312,84376.0
2018-11-09,677.2000122070312,679.4500122070312,657.4000244140625,661.4500122070312,625.414306640625,394045.0
2018-11-12,666.0,676.4000244140625,662.5499877929688,664.4500122070312,628.2509155273438,308091.0
2018-11-13,666.0,667.7000122070312,656.9500122070312,665.7000122070312,629.432861328125,171252.0
2018-11-14,669.0,669.0,640.25,653.4500122070312,617.8502197265625,1119117.0
2018-11-15,653.4500122070312,665.9500122070312,647.25,656.3499755859375,620.5921630859375,920461.0
2018-11-16,664.0,664.0,644.4000244140625,650.4500122070312,615.0136108398438,851972.0
2018-11-19,655.0,662.0,649.4000244140625,651.7999877929688,616.2900390625,436161.0
2018-11-20,648.5499877929688,655.0,639.6500244140625,641.0999755859375,606.1729736328125,290896.0
2018-11-21,642.0,642.0499877929688,612.2000122070312,620.9500122070312,587.1207275390625,1687076.0
2018-11-22,623.9000244140625,628.5,617.6500244140625,620.4500122070312,586.6480102539062,477899.0
2018-11-26,623.5,627.75,600.6500244140625,621.2999877929688,587.4515991210938,628314.0
2018-11-27,627.0,640.0,625.5499877929688,637.0,602.2962646484375,773589.0
2018-11-28,643.0,668.25,640.0999755859375,666.3499755859375,630.04736328125,1150990.0
2018-11-29,672.0,675.0,659.0,659.5999755859375,623.6651000976562,1489912.0
2018-11-30,663.0,671.9500122070312,661.0,666.5,630.189208984375,504992.0
2018-12-03,670.5,678.5,666.2999877929688,669.8499755859375,633.3567504882812,463557.0
2018-12-04,673.9000244140625,688.4000244140625,671.4000244140625,684.4500122070312,647.1613159179688,463485.0
2018-12-05,682.2000122070312,684.0,673.2000122070312,681.4500122070312,644.3248291015625,494434.0
2018-12-06,675.2999877929688,685.2000122070312,664.5,668.2000122070312,631.7965698242188,598535.0
2018-12-07,670.5,685.0,666.5,681.0499877929688,643.946533203125,468211.0
2018-12-10,678.0,683.0499877929688,665.7000122070312,667.7999877929688,631.4183959960938,302526.0
2018-12-11,665.1500244140625,681.2000122070312,660.9500122070312,674.25,637.5169677734375,398365.0
2018-12-12,674.9500122070312,680.0,671.0,678.7000122070312,641.724609375,345321.0
2018-12-13,679.25,698.7999877929688,679.25,696.5,658.5548706054688,365946.0
2018-12-14,695.1500244140625,713.0,693.5,705.5999755859375,667.1589965820312,482934.0
2018-12-17,713.0,714.0,692.0999755859375,693.5499877929688,655.7655639648438,612157.0
2018-12-18,694.0,694.0,675.0,676.3499755859375,639.5025634765625,1040768.0
2018-12-19,673.0,673.0,661.75,665.25,629.00732421875,940615.0
2018-12-20,662.7000122070312,671.4500122070312,657.0,666.8499755859375,630.5201416015625,579639.0
2018-12-21,660.7000122070312,660.7000122070312,643.7999877929688,645.75,610.5697021484375,981311.0
2018-12-24,658.0,658.7999877929688,648.0,649.0499877929688,613.6898803710938,579592.0
2018-12-26,648.9000244140625,650.0,637.7000122070312,644.5999755859375,609.4823608398438,440867.0
2018-12-27,652.0999755859375,663.25,649.2999877929688,657.3499755859375,621.5376586914062,512892.0
2018-12-28,662.7999877929688,663.9000244140625,656.0,657.5999755859375,621.7741088867188,288729.0
2018-12-31,659.0,662.1500244140625,656.0999755859375,659.8499755859375,623.9014892578125,268693.0
2019-01-01,661.0,667.0,654.2999877929688,664.6500244140625,628.4400024414062,221951.0
2019-01-02,668.0,673.7000122070312,662.4500122070312,669.2999877929688,632.836669921875,419594.0
2019-01-03,670.9000244140625,677.0,663.7999877929688,667.5499877929688,631.1820678710938,355183.0
