Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-March-2017,86.90,87.40,81.00,84.05,86.520397399043696365,11899777,10123,1029573435.00,9731618,81.78,6.40,-2.85
28-March-2017,86.00,86.95,86.00,86.45,86.297602838239524403,2294380,2626,197999494.00,1917983,83.59,0.95,0.45
27-March-2017,87.10,87.30,85.50,85.85,86.034880967860254890,1030562,5523,88664279.00,499342,48.45,1.80,-1.25
24-March-2017,87.00,88.30,87.00,87.30,87.675204271086069262,744354,2450,65261389.00,290925,39.08,1.30,0.30
23-March-2017,87.90,87.90,86.90,87.25,87.275349729582741638,661940,2379,57771045.00,254923,38.51,1.00,-0.65
22-March-2017,88.30,88.35,86.75,87.30,87.673249560783305480,560088,2662,49104735.00,276755,49.41,1.60,-1.00
21-March-2017,89.30,89.70,88.25,88.90,88.680382707055380012,463958,2300,41143973.00,152576,32.89,1.45,-0.40
20-March-2017,91.00,91.00,89.00,89.30,89.637641445624554412,547030,2449,49034479.00,216209,39.52,2.00,-1.70
17-March-2017,92.20,92.40,90.45,90.80,91.124333774048042484,727606,2781,66302612.00,157810,21.69,1.95,-1.40
16-March-2017,92.00,92.85,91.50,91.90,92.201328428550870628,889472,3810,82010500.00,331501,37.27,1.35,-0.10
15-March-2017,90.80,91.70,90.30,91.10,91.093022521441473303,475014,1732,43270461.00,197385,41.55,1.40,0.30
14-March-2017,92.30,92.90,90.55,90.80,91.220300467112738290,594075,2215,54191700.00,236926,39.88,2.35,-1.50
10-March-2017,90.95,91.20,90.00,90.30,90.434249472940788862,570619,2182,51603501.00,158204,27.72,1.20,-0.65
9-March-2017,89.80,91.25,89.80,90.35,90.514162403178323377,524805,1991,47502285.00,161317,30.74,1.45,0.55
8-March-2017,91.80,91.80,89.45,90.95,90.613928957150334939,905538,3412,82054356.00,190686,21.06,2.35,-0.85
7-March-2017,92.00,93.50,91.00,91.30,92.163690017677897451,2434113,10343,224336836.00,880884,36.19,2.50,-0.70
6-March-2017,87.65,90.85,87.65,90.50,89.655925467542877870,1064127,4173,95405291.00,336638,31.64,3.20,2.85
3-March-2017,87.40,88.40,86.45,87.30,87.079043646632132564,1135689,4731,98894712.00,289385,25.48,1.95,-0.10
2-March-2017,89.25,90.25,87.05,87.40,88.763884820104651634,887516,3911,78779368.00,286189,32.25,3.20,-1.85
1-March-2017,91.00,91.85,89.00,89.25,90.199652965119541430,1158385,4434,104485925.00,360140,31.09,2.85,-1.75
28-February-2017,89.10,90.80,89.00,90.55,90.156206231461002673,424106,1861,38235788.00,113576,26.78,1.80,1.45
27-February-2017,90.60,91.15,88.80,89.25,89.560172803758639723,1076134,4363,96378747.00,374433,34.79,2.35,-1.35
23-February-2017,92.50,92.75,90.25,90.60,91.263848887676595881,747894,5168,68255685.00,341646,45.68,2.50,-1.90
22-February-2017,95.00,95.80,91.90,92.40,93.822494901081574408,844787,3626,79260024.00,322880,38.22,3.90,-2.60
21-February-2017,94.00,95.85,94.00,95.20,95.006359923593495247,686329,3980,65205620.00,266702,38.86,1.85,1.20
20-February-2017,93.25,94.60,93.20,94.40,94.182259623162930216,457386,1736,43077647.00,101752,22.25,1.40,1.15
17-February-2017,93.90,94.45,93.30,93.75,93.741137995757504754,401179,1490,37606976.00,116091,28.94,1.15,-0.15
